Phrase,Niveau
Je veux voyager autour du monde.,A1
J'aime voyager!,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aime voyager et découvrir de nouvelles cultures.,A1
J'aime voyager à travers le monde.,A1
J'adore voyager !,A1
J'aimerais voyager partout dans le monde.,A1
J'aime voyager !,A1
Je veux voyager à travers le monde.,A1
Je veux aller en voyage.,A1
J'adore voyager!,A1
J'aime voyager !,A1
J'aime les voyages!,A1
Je veux voyager à travers le monde.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
J'aimerais voyager autour du monde.,A1
Je veux voyager pour découvrir de nouveaux endroits.,A1
J'aime voyager.,A1
Je veux voyager dans le monde entier.,A1
J'aimerais voyager autour du monde.,A1
Je veux voyager à travers le monde.,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aimerais bien voyager.,A1
Je veux voyager pour voir le monde.,A1
J'aime voyager.,A1
Je veux voyager autour du monde.,A1
Je veux voyager autour du monde.,A1
"""J'aime voyager.""",A1
Je veux voyager à travers le monde.,A1
"""J'aime voyager.""",A1
J'aime voyager et découvrir de nouveaux endroits.,A1
J'aime voyager.,A1
Je veux voyager autour du monde.,A1
"""J'aime voyager.""",A1
Je veux voyager à travers le monde.,A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aime voyager.,A1
Je veux voyager dans le monde.,A1
J'aimerais voyager autour du monde.,A1
Je veux voyager à l'étranger.,A1
J'aime voyager.,A1
Je veux voyager dans le monde.,A1
J'aime voyager parce que c'est amusant.,A1
Je veux voyager autour du monde.,A1
J'aime voyager !,A1
"""J'aime voyager en avion.""",A1
J'aime voyager et découvrir de nouveaux endroits.,A1
Je veux voyager dans le monde entier.,A1
J'aime voyager.,A1
Je veux partir en voyage.,A1
"""J'aime voyager.""",A1
J'aime voyager en avion.,A1
"J'aime voyager, c'est amusant!",A1
J'aime voyager.,A1
Je veux voyager dans le monde.,A1
"""J'aime voyager.""",A1
Je veux voyager dans le monde.,A1
"J'aime voyager, c'est amusant!",A1
J'aimerais voyager autour du monde.,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aime voyager.,A1
J'aime voyager.,A1
Le voyage est amusant.,A1
J'aime voyager.,A1
J'aime voyager.,A1
"""J'aime voyager.""",A1
"""J'aime voyager.""",A1
J'aimerais voyager à travers le monde.,A1
J'aime voyager.,A1
J'aime voyager et découvrir de nouveaux lieux.,A1
J'aime voyager!,A1
Les ordinateurs sont une partie importante de la technologie moderne.,A1
Les technologies modernes nous permettent de communiquer plus facilement.,A1
La technologie facilite les tâches quotidiennes.,A1
La technologie peut nous aider à faire des choses plus facilement.,A1
La technologie permet de rendre la vie plus facile.,A1
Les ordinateurs aident les gens à faire des tâches plus rapidement.,A1
La technologie nous aide à communiquer plus facilement.,A1
La technologie rend notre vie plus facile.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie facilite notre vie.,A1
Les nouvelles technologies facilitent notre vie.,A1
La technologie nous aide à mieux communiquer.,A1
"""Les appareils technologiques peuvent nous aider à communiquer plus facilement.""",A1
Les technologie nous facilitent la vie.,A1
"""Je veux apprendre à utiliser l'ordinateur.""",A1
La technologie permet de rendre la vie plus facile.,A1
Les nouvelles technologies facilitent la vie.,A1
La technologie permet de communiquer plus facilement.,A1
La technologie peut nous aider à accomplir des tâches plus facilement.,A1
Les nouvelles technologies nous permettent de communiquer plus facilement.,A1
Les ordinateurs sont utiles pour faire des recherches sur Internet.,A1
La technologie nous aide à faciliter notre vie.,A1
La technologie facilite beaucoup la vie quotidienne.,A1
La technologie nous aide à communiquer facilement.,A1
La technologie nous permet de communiquer facilement.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous aide à faire des choses plus facilement.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous facilite la vie.,A1
La technologie nous aide à faciliter notre vie quotidienne.,A1
La technologie peut faciliter notre vie quotidienne.,A1
La technologie nous aide à accomplir des tâches plus rapidement.,A1
La technologie facilite beaucoup les tâches quotidiennes.,A1
Les nouvelles technologies sont fascinantes.,A1
La technologie nous rend la vie plus facile.,A1
La technologie nous aide à réaliser des tâches plus facilement et plus rapidement.,A1
La technologie permet de faciliter notre vie quotidienne.,A1
Les technologies modernes nous facilitent la vie.,A1
La technologie facilite nos vies.,A1
La technologie facilite la communication entre les gens.,A1
La technologie est utile pour faciliter nos vies.,A1
Les ordinateurs sont devenus une partie importante de notre vie.,A1
Les technologies modernes facilitent nos vies quotidiennes.,A1
La technologie facilite nos vies.,A1
Les ordinateurs sont devenus très importants dans la technologie.,A1
La technologie nous aide à nous connecter avec le monde.,A1
Nous utilisons la technologie pour faciliter nos tâches quotidiennes.,A1
Les technologies modernes nous aident à communiquer plus facilement.,A1
Je sais utiliser un ordinateur.,A1
La technologie facilite beaucoup les tâches quotidiennes.,A1
La technologie rend nos vies plus faciles.,A1
La technologie nous permet de faciliter notre vie quotidienne.,A1
La technologie nous aide à vivre plus facilement.,A1
Les technologies modernes sont très utiles.,A1
La technologie aide les gens à communiquer plus facilement.,A1
La technologie peut faciliter la vie.,A1
Les technologies modernes facilitent la vie quotidienne.,A1
La technologie permet à l'humanité d'accomplir des choses incroyables.,A1
La technologie est un outil très utile pour la vie quotidienne.,A1
La technologie est une partie importante de notre vie.,A1
Les technologies modernes nous aident à mieux communiquer.,A1
La technologie nous permet de communiquer plus facilement.,A1
"""Les ordinateurs sont utilisés pour stocker des données et des informations.""",A1
La technologie nous rend la vie plus facile.,A1
La technologie nous permet de communiquer plus rapidement.,A1
La technologie facilite nos vies !,A1
La technologie permet aux gens de communiquer plus facilement.,A1
La technologie nous permet de rester en contact avec nos amis.,A1
La technologie est très utile pour faciliter les tâches quotidiennes.,A1
"""La technologie peut aider à faciliter notre vie quotidienne.""",A1
La technologie est un outil important pour nous aider à réussir.,A1
J'utilise un téléphone portable pour surfer sur Internet.,A1
La technologie est un outil utile pour nous faciliter la vie.,A1
La technologie nous aide à accomplir nos tâches plus rapidement.,A1
La technologie nous permet de nous connecter plus facilement.,A1
La technologie rend nos vies plus faciles.,A1
La technologie facilite la vie.,A1
La technologie peut aider à faciliter la vie.,A1
La technologie aide les gens à vivre plus facilement.,A1
La technologie rend notre vie plus facile.,A1
La technologie est très utile pour la vie de chacun.,A1
La technologie permet de communiquer plus facilement avec les autres.,A1
La technologie nous donne plus de possibilités.,A1
Les technologies modernes nous permettent de communiquer plus facilement.,A1
Les ordinateurs sont des outils très utiles pour la technologie.,A1
La technologie nous aide à mieux communiquer.,A1
La technologie nous aide à mieux communiquer.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous aide dans beaucoup de choses.,A1
Les téléphones portables sont devenus très populaires grâce à la technologie.,A1
La technologie nous aide à faire des choses plus facilement.,A1
La technologie rend nos vies plus faciles.,A1
La technologie facilite notre vie quotidienne.,A1
La technologie rend nos vies plus faciles.,A1
La technologie nous aide à faire beaucoup de choses.,A1
"""Les technologies nous aident à atteindre nos objectifs.""",A1
Les technologies modernes nous aident à accomplir des tâches plus facilement et plus rapidement.,A1
Les technologies modernes nous aident à mener une vie plus facile.,A1
La technologie peut faciliter notre vie.,A1
Les smartphones modernes peuvent être très utiles.,A1
La technologie facilite notre vie quotidienne.,A1
"""La technologie est très utile.""",A1
La technologie facilite la vie de beaucoup de gens.,A1
La technologie permet de faciliter la vie.,A1
"""Les technologies modernes nous aident à communiquer plus facilement.""",A1
La technologie nous aide à rester connectés.,A1
Les ordinateurs sont devenus un outil important de la technologie moderne.,A1
La technologie nous aide à vivre plus facilement.,A1
La technologie nous aide à faire des tâches plus facilement.,A1
J'utilise la technologie pour faire des recherches sur Internet.,A1
Je peux envoyer des messages avec mon téléphone portable.,A1
La technologie peut rendre notre vie plus facile.,A1
Je peux utiliser la technologie pour rester en contact avec mes amis.,A1
La technologie offre d'importantes possibilités.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous rend la vie plus facile.,A1
La technologie peut faciliter nos tâches quotidiennes.,A1
Les technologies nous aident à vivre plus facilement.,A1
La technologie nous aide à être plus connectés.,A1
Je sais utiliser un ordinateur.,A1
La technologie nous aide à mieux communiquer.,A1
La technologie rend nos vies plus faciles.,A1
"""Les ordinateurs sont très utiles quand on veut naviguer sur Internet.""",A1
La technologie facilite notre vie quotidienne.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous aide à améliorer notre vie.,A1
Les ordinateurs sont des outils très utiles pour la technologie.,A1
La technologie nous aide à faire des tâches plus facilement.,A1
La technologie est très utile pour faciliter nos tâches quotidiennes.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie nous permet de communiquer plus facilement.,A1
Nous utilisons de plus en plus de technologies pour communiquer.,A1
La technologie nous permet de communiquer plus facilement.,A1
Les ordinateurs sont utiles pour stocker des informations et connecter les gens.,A1
Les technologies modernes nous permettent de communiquer plus facilement.,A1
La technologie nous aide à communiquer facilement.,A1
La technologie nous aide à vivre notre vie plus facilement.,A1
Les nouvelles technologies nous rendent la vie plus facile.,A1
La technologie nous permet de communiquer plus facilement.,A1
La technologie facilite beaucoup notre vie.,A1
La technologie nous aide à mieux communiquer.,A1
La technologie peut nous aider à vivre plus facilement.,A1
La technologie nous aide à rester connectés.,A1
Les technologies nous aident à accomplir des tâches plus rapidement.,A1
Les technologies nous aident à faire des choses plus facilement.,A1
La technologie permet aux gens de communiquer plus facilement.,A1
La technologie nous facilite la vie.,A1
La technologie nous aide à connecter les gens du monde entier.,A1
La technologie permet à l'homme de faire de grandes choses.,A1
La technologie nous permet de communiquer plus facilement.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
Je vais à un musée pour en apprendre plus sur la culture.,A1
J'aime apprendre de nouvelles cultures.,A1
J'aime apprendre de nouvelles cultures.,A1
La culture est importante pour comprendre les différences entre les pays.,A1
La culture est importante car elle nous permet d'apprendre et de comprendre le monde autour de nous.,A1
La culture est importante pour apprendre des choses intéressantes.,A1
"""La culture est importante car elle nous enrichit!""",A1
L'art et la culture sont importants pour les personnes et les communautés.,A1
La culture est l'expression des différentes communautés du monde.,A1
La culture est très importante.,A1
La culture peut être un excellent moyen d'enrichir sa vie.,A1
Je connais des chansons françaises et j'aime apprendre des choses sur la culture française.,A1
J'aime découvrir la culture de mon pays.,A1
La culture est importante car elle permet de découvrir de nouvelles choses.,A1
La culture est un moyen de partager des connaissances.,A1
"La culture est importante, car elle nous fait découvrir le monde qui nous entoure.",A1
La culture est très importante.,A1
La culture est une chose importante pour apprendre des choses nouvelles.,A1
La culture est un aspect important de la vie des gens.,A1
La culture est importante dans la vie.,A1
"""Le musée est un endroit où on découvre de nouvelles cultures.""",A1
J'aime apprendre de nouveaux détails sur différentes cultures.,A1
La culture est importante pour connaître et comprendre le monde.,A1
Je vais au musée pour apprendre plus sur la culture.,A1
La culture est importante car elle nous apprend des choses intéressantes.,A1
La culture est importante car elle nous permet de connaître notre passé.,A1
Les musées sont un lieu de découverte et d'apprentissage de la culture.,A1
Le musée est un endroit où l'on découvre des informations sur la culture et l'histoire.,A1
La culture française est riche et variée.,A1
J'aime étudier la culture française.,A1
La culture est ce qui fait de nous des êtres humains uniques.,A1
La culture est un vaste domaine qui peut apporter beaucoup de connaissances.,A1
La culture est un moyen intéressant pour apprendre de nouvelles choses.,A1
La culture française est très riche.,A1
La culture est un élément important pour apprendre de nouvelles choses.,A1
La culture est ce qui nous relie à notre passé et qui nous aide à comprendre le présent.,A1
La culture est une chose très importante.,A1
Je visite un musée pour en apprendre plus sur la culture.,A1
"""La culture est ce qui fait une personne unique et spéciale.""",A1
"La culture est un moyen de partager des informations, des traditions et des valeurs.",A1
La culture est un moyen de partager des idées entre les gens.,A1
La culture est importante pour tout le monde.,A1
Les musées sont une excellente façon de découvrir la culture d'un pays.,A1
La culture française est riche et complexe.,A1
La culture est importante car elle nous permet d'apprendre des choses intéressantes.,A1
J'aime apprendre des choses sur la culture.,A1
"""J'aime apprendre sur les cultures différentes.""",A1
La culture francophone est riche et belle.,A1
Cet été je vais aller à la plage et découvrir de nouvelles cultures.,A1
"""J'aimerais apprendre plus de choses sur la culture française.""",A1
La culture est très importante.,A1
La culture est importante pour apprendre les différentes façons de vivre.,A1
La culture est riche et intéressante.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
J'aime apprendre de la culture.,A1
La culture fait partie de la vie.,A1
J'aime apprendre des nouvelles choses sur la culture française.,A1
J'aime l'art et apprendre des nouvelles choses à propos de la culture.,A1
Regarder des films étrangers peut être une excellente façon d'apprendre de nouvelles cultures.,A1
Je visite des musées pour en apprendre plus sur la culture.,A1
"""La culture est importante pour apprendre de nouvelles choses.""",A1
La culture est une chose merveilleuse qui apporte beaucoup de joie et de connaissance.,A1
Je découvre la culture française.,A1
La culture est une partie importante de notre vie.,A1
"""La culture est un moyen de connaître et partager des expériences avec les autres.""",A1
"""Je aime apprendre de nouvelles choses sur la culture.""",A1
La culture est une chose importante pour nous tous.,A1
La culture est importante pour comprendre les différentes personnes et leurs traditions.,A1
Je vais au musée pour apprendre la culture.,A1
J'aime apprendre à connaître la culture d'autres pays.,A1
J'aime apprendre de nouvelles cultures.,A1
"""La culture est une chose intéressante à apprendre et à partager.""",A1
La culture est une chose très importante.,A1
La culture est importante car elle permet de partager et de découvrir de nouvelles choses.,A1
La culture est importante car elle nous permet d'apprendre de nouvelles choses.,A1
La culture est un moyen fascinant de partager des connaissances et des traditions.,A1
J'aime apprendre les cultures différentes.,A1
J'aime apprendre de la culture.,A1
La culture est une partie importante de notre vie.,A1
"""J'aime apprendre de nouvelles choses sur la culture.""",A1
Le musée est un endroit très amusant où l'on peut apprendre beaucoup de choses sur la culture.,A1
La culture est très importante pour apprendre des nouvelles choses.,A1
Les musées sont un endroit intéressant pour découvrir la culture.,A1
Je découvre la culture française.,A1
La culture est importante pour connaître et comprendre d'autres personnes.,A1
J'aime apprendre des nouvelles cultures.,A1
La culture est très importante pour comprendre le monde.,A1
Je suis allé voir un film au cinéma.,A1
Je visite souvent le musée pour apprendre plus sur la culture.,A1
Le Louvre est un musée célèbre en France.,A1
J'adore aller au musée pour découvrir la culture.,A1
La culture est un trésor précieux qu'il faut apprendre à découvrir et à apprécier.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
La culture est une chose importante pour apprendre de nouvelles choses.,A1
La culture est une partie importante de la vie des gens.,A1
La culture est une chose merveilleuse qui nous donne un sentiment d'appartenance à un groupe.,A1
La culture est une source de richesses pour tous.,A1
La culture c'est important pour apprendre des choses nouvelles.,A1
J'aime apprendre des choses sur la culture du monde.,A1
L'art est une part importante de la culture.,A1
Les musées exposent des œuvres d'art intéressantes provenant de toutes les cultures.,A1
La culture est une partie importante de la vie.,A1
La culture est importante pour comprendre les différences entre les personnes.,A1
La culture est une chose importante pour apprendre des choses intéressantes.,A1
La culture est importante pour découvrir de nouvelles choses.,A1
La culture est importante car elle nous aide à comprendre et à respecter les autres.,A1
"""Je visite un musée pour en apprendre plus sur la culture.""",A1
J'aime apprendre de nouvelles choses sur la culture.,A1
J'aime apprendre des choses nouvelles sur la culture de mon pays.,A1
J'aime l'art et la culture.,A1
La culture est très importante pour les gens.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
J'aime apprendre de nouvelles cultures.,A1
La culture est très importante.,A1
J'aime aller au musée pour apprendre l'histoire et la culture.,A1
La culture est importante parce qu'elle permet aux gens d'apprendre de nouvelles choses et de partager leurs connaissances.,A1
J'aime apprendre de nouvelles cultures.,A1
La culture est un élément important de notre vie.,A1
La culture est une partie importante de notre vie.,A1
La culture est importante pour apprendre de nouvelles choses.,A1
La culture est très importante.,A1
La culture est ce qui nous permet de communiquer et de partager des informations.,A1
La culture est une partie importante de notre vie.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
La culture est très importante.,A1
J'aime apprendre de nouvelles choses sur la culture.,A1
La culture est très intéressante!,A1
La culture est une chose importante pour les gens du monde entier.,A1
Les musées sont un endroit où on peut apprendre des choses intéressantes sur la culture.,A1
J'aime apprendre de nouvelles cultures.,A1
Nous avons beaucoup de cultures différentes dans le monde.,A1
La culture est le patrimoine le plus précieux d'un pays.,A1
La culture est une chose intéressante et enrichissante.,A1
Je aime aller au musée pour apprendre de la culture.,A1
J'aime apprendre des nouvelles cultures.,A1
La culture est très importante pour comprendre le monde.,A1
La culture est le bien le plus précieux qui soit.,A1
La culture est une chose importante à apprendre.,A1
J'aime apprendre de nouvelles cultures.,A1
La culture est importante pour apprendre de nouvelles choses.,A1
J'aime apprendre sur les cultures du monde.,A1
La culture est partout autour de nous !,A1
Je visite souvent des musées pour apprendre de la culture.,A1
La culture est un élément essentiel de la vie humaine.,A1
La culture est importante pour apprendre de nouvelles choses.,A1
J'aime apprendre à connaître la culture d'autres pays.,A1
"""Le musée est un endroit où l'on peut apprendre la culture.""",A1
La culture est importante parce qu'elle enrichit nos vies.,A1
La culture est une chose importante à apprendre et à connaître.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
Je veux apprendre à être une meilleure personne.,A1
L'éducation est importante pour avoir un meilleur avenir.,A1
L'éducation est importante pour apprendre des choses nouvelles.,A1
L'éducation est importante pour réussir.,A1
L'éducation est importante pour réussir dans la vie.,A1
La famille et l'école sont les deux facteurs importants pour une bonne éducation.,A1
La education est importante pour avoir un bon futur.,A1
L'éducation est importante pour se développer.,A1
"""L'éducation est importante pour réussir dans la vie.""",A1
La éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour apprendre.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour progresser.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre et se développer.,A1
La éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est très importante.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est très importante.,A1
L'éducation est très importante.,A1
L'éducation est importante pour le développement des jeunes.,A1
L'éducation est importante pour réussir.,A1
"""L'éducation est importante pour réussir.""",A1
L'éducation est très importante.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
L'éducation est importante pour réussir.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre des choses nouvelles.,A1
La éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour avoir une bonne future.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour mieux apprendre.,A1
L'éducation est très importante.,A1
La éducation est importante pour apprendre des choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
"""L'éducation est très importante pour moi.""",A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
Je veux apprendre à l'école.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour apprendre et réussir.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
L'éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour moi.,A1
L’éducation est importante.,A1
L'éducation est importante pour nous.,A1
L'éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre.,A1
Les études sont importantes pour avoir une bonne éducation.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est très importante.,A1
L'éducation est importante pour apprendre des choses nouvelles.,A1
L'éducation est importante pour avoir un avenir meilleur.,A1
L'éducation est importante pour réussir.,A1
L'éducation est importante pour apprendre et réussir dans la vie.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour avoir un futur meilleur.,A1
La éducation est très importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour nous apprendre des choses.,A1
L'éducation est importante pour avoir un bon avenir.,A1
La bonne éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante car elle nous permet d'apprendre et de grandir.,A1
La éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour avoir un avenir réussi.,A1
L'éducation est importante pour avoir un avenir meilleur.,A1
L'éducation est très importante.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est très importante.,A1
La éducation est importante pour le développement des enfants.,A1
L'éducation est importante pour apprendre.,A1
La bonne éducation est importante pour avoir un avenir réussi.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante car elle nous aide à devenir de meilleures personnes.,A1
L'éducation est importante pour réussir dans la vie.,A1
La bonne éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour avoir un bon avenir.,A1
La éducation est importante pour apprendre et grandir.,A1
L'éducation est très importante.,A1
L'éducation est très importante.,A1
L'éducation est importante pour apprendre et réussir.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
"""L'éducation est importante.""",A1
Je pense que l'éducation est très importante.,A1
"""L'éducation est importante pour réussir dans la vie.""",A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour devenir quelqu'un de réussi.,A1
L'éducation est importante pour avoir une bonne vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour apprendre de nouvelles choses.,A1
L'éducation est importante pour avoir un bon avenir.,A1
L'éducation est importante pour réussir dans la vie.,A1
L'éducation est importante pour réussir dans la vie.,A1
La bonne éducation est importante pour réussir dans la vie.,A1
L'éducation est importante !,A1
"Bonjour, je m'appelle Paul et je suis heureux de vous rencontrer.",A1
Je me lève tôt le matin et je salue mes amis.,A1
Je veux aller au magasin avec mon ami.,A1
Je veux aller au supermarché avec mon ami.,A1
Je salue mes amis quand je les rencontre.,A1
Je salue mes amis quand je les vois.,A1
Je vais faire des courses avec mes amis.,A1
Je vais à l'école tous les jours.,A1
Je me sens heureux quand je suis avec mes amis.,A1
Je salue mes voisins chaque jour.,A1
Je vais au marché pour acheter des légumes.,A1
Je vais à l'épicerie pour acheter des aliments.,A1
J'aime passer du temps avec mes amis.,A1
Je vais au supermarché tous les samedis.,A1
Je veux aller voir un ami.,A1
Je salue mes amis quand je les croise.,A1
Je me salue les gens que je rencontre.,A1
Je m'entends bien avec mes amis.,A1
Je peux dire bonjour à mes amis.,A1
"Je vais bien, merci.",A1
Je salue mon voisin chaque matin.,A1
Je salue mes amis quand je les vois.,A1
Je parle avec mes amis chaque jour.,A1
Je fais chaque jour des choses amusantes avec mes amis.,A1
Je peux dire bonjour à mes amis.,A1
Je prends le bus tous les jours pour aller au travail.,A1
Je passe du temps avec mes amis.,A1
Je me salue les uns les autres avec un sourire.,A1
Je vais faire mes courses au supermarché avec ma famille.,A1
Je vais acheter des courses avec ma famille.,A1
Je me lève chaque matin et je salue mes amis.,A1
"Je me présente, je m'appelle Ana.",A1
Je peux parler avec mes amis.,A1
Je vais faire mes courses.,A1
Je me salue quand je croise des personnes dans la rue.,A1
Je me lève le matin et je salue mes amis.,A1
Je veux acheter du pain.,A1
Je me lève tôt le matin pour préparer le petit-déjeuner.,A1
Je salue mes amis quand je les croise dans la rue.,A1
Je salue mes amis chaque fois que je les vois.,A1
Je vais prendre le train avec un ami.,A1
Je salue mes amis quand je les vois.,A1
Je veux aller faire du shopping avec mes amis.,A1
